iter	Accuracy	Logloss
0	0.7987698522	0.681257698
1	0.7988004529	0.6701128903
2	0.8006058937	0.6595670672
3	0.8004528902	0.6493538473
4	0.7991064598	0.6396346612
5	0.7988004529	0.6304196694
6	0.798984057	0.6215943582
7	0.8002080847	0.6133578713
8	0.8016769179	0.6057117028
9	0.8008506992	0.5982922304
10	0.8010343034	0.5910261798
11	0.8008506992	0.584160568
12	0.8010343034	0.5775935521
13	0.801370911	0.5718046423
14	0.8014933137	0.5659376171
15	0.801370911	0.5604210655
16	0.8021359283	0.5552574379
17	0.8024725359	0.5502896069
18	0.801860522	0.5453833358
19	0.8016769179	0.5407354374
20	0.8016157165	0.5362798691
21	0.8015545151	0.5321345512
22	0.8014627131	0.5282508334
23	0.8014933137	0.5244713491
24	0.8016463172	0.5209384634
25	0.80176872	0.5175377225
26	0.8017075186	0.5143553701
27	0.8015851158	0.5113714441
28	0.8018911227	0.5083053982
29	0.8019523241	0.5053055742
30	0.8019217234	0.50262383
31	0.8018911227	0.4999606434
32	0.8015545151	0.497423356
33	0.8017075186	0.4949710871
34	0.8016157165	0.4926172246
35	0.8016463172	0.4903824178
36	0.8014933137	0.4883964807
37	0.8012485082	0.4863082226
38	0.8012485082	0.4844169564
39	0.8014933137	0.482782479
40	0.8015239144	0.4809464973
41	0.8015545151	0.479204021
42	0.8015851158	0.4775554387
43	0.8017993207	0.4760794334
44	0.802564338	0.4746841734
45	0.802564338	0.4731947803
46	0.8020747269	0.4717817994
47	0.8021359283	0.4705607302
48	0.8025337373	0.4691715664
49	0.8025031366	0.4678106723
50	0.8027785428	0.4665992854
51	0.802564338	0.4655613123
52	0.8032069525	0.4643889532
53	0.8032069525	0.4632819792
54	0.8031151504	0.4621768878
55	0.8031763518	0.4610787294
56	0.8037883656	0.4601561663
57	0.8037883656	0.4592094873
58	0.8039107684	0.4583636053
59	0.8037577649	0.4574317784
60	0.8038801677	0.4565256513
61	0.8038801677	0.455639815
62	0.8041555739	0.4548248923
63	0.8043085774	0.4540341155
64	0.8043085774	0.4532653329
65	0.8044309801	0.4526444735
66	0.8045533829	0.4519861104
67	0.8045227822	0.4513309448
68	0.8043697788	0.450581437
69	0.8044003794	0.4499391214
70	0.8042779767	0.4493499983
71	0.804247376	0.4488393194
72	0.8044309801	0.4482004104
73	0.8047369871	0.447534427
74	0.8052265981	0.4469396858
75	0.8053796016	0.4463990636
76	0.8052877995	0.4459361684
77	0.805440803	0.4454174508
78	0.8055632057	0.4448574342
79	0.8055632057	0.4443036932
80	0.8056550078	0.4438171602
81	0.8058080113	0.4433973569
82	0.8057468099	0.4428662975
83	0.805838612	0.4424952342
84	0.805930414	0.4420653303
85	0.8058998133	0.4417075652
86	0.8058080113	0.4413827018
87	0.8061140182	0.4409391113
88	0.8059610147	0.4406065081
89	0.8059916154	0.4402704085
90	0.8062670216	0.439840415
91	0.8064200251	0.4394983985
92	0.806726032	0.4390666717
93	0.8068484348	0.438709325
94	0.8062058203	0.4383239176
95	0.8062976223	0.437959608
96	0.8062976223	0.4376562906
97	0.8065424279	0.4373793902
98	0.8067872334	0.4370099407
99	0.8065118272	0.4366923091
100	0.806726032	0.4363336774
101	0.8064200251	0.4360259372
102	0.8064200251	0.4357403706
103	0.8066648306	0.4354897677
104	0.8067566327	0.4351997185
105	0.8070014382	0.4349443641
106	0.8077664555	0.4346939405
107	0.8077664555	0.4344323106
108	0.8077664555	0.4342061523
109	0.8078276569	0.4340130751
110	0.8077358548	0.4337121783
111	0.8077664555	0.4334876039
112	0.8078276569	0.4332926739
113	0.8076746534	0.4330313428
114	0.8077358548	0.4327219291
115	0.8077664555	0.4325312725
116	0.8077970562	0.4323550197
117	0.8080724624	0.4321482558
118	0.8081030631	0.4319379657
119	0.8081642645	0.4316636054
120	0.8081030631	0.4314194872
121	0.8080418617	0.4311802101
122	0.8080418617	0.430938363
123	0.8088680804	0.4307064672
124	0.8089598825	0.4305282719
125	0.8081948652	0.4303657954
126	0.8081030631	0.4301314192
127	0.8081642645	0.4299187384
128	0.8090516846	0.4297299644
129	0.809204688	0.4294798098
130	0.8092658894	0.4293043339
131	0.8093882922	0.4291581439
132	0.8091740873	0.4289202713
133	0.8092658894	0.4287225323
134	0.8093270908	0.4285115848
135	0.809204688	0.4283291759
136	0.8093576915	0.4281778161
137	0.8093576915	0.4279661513
138	0.8093576915	0.4277930662
139	0.8092964901	0.4276554826
140	0.8093882922	0.4274451028
141	0.8093576915	0.4273094318
142	0.8094188929	0.4271891508
143	0.8093270908	0.4270030663
144	0.8092658894	0.4268651839
145	0.8093576915	0.4266953859
146	0.8092964901	0.4265978163
147	0.8094188929	0.426439643
148	0.8094800943	0.4262665877
149	0.8093882922	0.4261101178
150	0.8094494936	0.4259816188
151	0.8093882922	0.4258445133
152	0.8095412956	0.4256915697
153	0.8097555005	0.4254898262
154	0.8098473025	0.4253451603
155	0.810000306	0.4252143005
156	0.8099697053	0.4251094991
157	0.8098779032	0.4249273293
158	0.8099085039	0.4248022669
159	0.8101839102	0.4246872454
160	0.8102757122	0.4245440437
161	0.8102451115	0.4243996766
162	0.8102757122	0.4242619436
163	0.8102757122	0.4241595329
164	0.8103063129	0.4239845053
165	0.8105511185	0.4238283641
166	0.8104593164	0.4237240109
167	0.8104287157	0.4236192095
168	0.8104593164	0.4235105532
169	0.8103369136	0.4233610461
170	0.8103063129	0.4232820341
171	0.8107041219	0.4231661161
172	0.810795924	0.4230056418
173	0.8109795281	0.4228780393
174	0.811193733	0.4227080919
175	0.8109795281	0.4225773217
176	0.8109795281	0.4224453861
177	0.8112243337	0.422313062
178	0.8111325316	0.4221931695
179	0.811193733	0.4221169965
180	0.8112855351	0.4220436624
181	0.8111325316	0.421953474
182	0.8110713302	0.4218542609
183	0.8110101288	0.4217731571
184	0.8109489274	0.4216682959
185	0.8110713302	0.4214952705
186	0.8109795281	0.4214034684
187	0.8113161357	0.4212910468
188	0.8113161357	0.4212228825
189	0.8114079378	0.4211431235
190	0.8113773371	0.4210066456
191	0.8114079378	0.4208882173
192	0.8112855351	0.4207861652
193	0.811193733	0.4206735344
194	0.8112855351	0.4206058483
195	0.8113467364	0.4205164966
196	0.8113773371	0.4204506633
197	0.8112243337	0.4203725479
198	0.8113467364	0.4202671488
199	0.8114079378	0.4201255907
200	0.8114691392	0.4200446065
201	0.8113773371	0.4199978687
202	0.8113773371	0.4198668595
203	0.8114079378	0.41978979
204	0.8114079378	0.4197429327
205	0.8115609413	0.4196495767
206	0.8116221427	0.4195519174
207	0.8115303406	0.4194318754
208	0.8114691392	0.4193264166
209	0.811683344	0.4191993819
210	0.8116527434	0.4190929668
211	0.8117445454	0.4190036152
212	0.8117445454	0.4189491675
213	0.8117445454	0.4188235971
214	0.8117445454	0.4186818597
215	0.8118363475	0.4185640888
216	0.8118057468	0.4184842402
217	0.8118975489	0.4182916411
218	0.8118975489	0.4181984943
219	0.8118669482	0.4181057359
220	0.8118975489	0.4180662299
221	0.8120199517	0.4179691086
222	0.8120505523	0.4178696862
223	0.8122341565	0.4177375415
224	0.8123259586	0.4176652234
225	0.8121729551	0.4176005257
226	0.8123259586	0.4175222309
227	0.8123871599	0.417435001
228	0.8122647572	0.4173538375
229	0.8125095627	0.417291381
230	0.8124483613	0.4171891496
231	0.8125401634	0.417095674
232	0.8125707641	0.4169620052
233	0.8126625662	0.4168319224
234	0.8127237676	0.4167712888
235	0.8127237676	0.4167043497
236	0.8127849689	0.4166113523
237	0.8126931669	0.4165265729
238	0.8128155696	0.4164388051
239	0.8127849689	0.416402915
240	0.8128461703	0.4162714277
241	0.8128461703	0.4162291724
242	0.8127543682	0.4161427494
243	0.8126931669	0.4160804722
244	0.8126319655	0.4159832014
245	0.8126931669	0.415935089
246	0.8129073717	0.4158351586
247	0.8127543682	0.4157776329
248	0.8126625662	0.415739382
249	0.8130297745	0.4155854223
250	0.8129073717	0.4155049162
251	0.8129379724	0.41545265
252	0.8130297745	0.4153320701
253	0.8128155696	0.415238475
254	0.8129685731	0.4151936498
255	0.8130603752	0.415084067
256	0.8130909759	0.4149978532
257	0.8133969828	0.4149587955
258	0.8134275835	0.4148447899
259	0.8136417883	0.4147979326
260	0.8134275835	0.414703202
261	0.8131521772	0.414612655
262	0.8131827779	0.4145620324
263	0.8134581842	0.4145108121
264	0.8134887848	0.4144344897
265	0.8134581842	0.414321799
266	0.8134275835	0.4142298774
267	0.8134275835	0.4141892658
268	0.8133969828	0.4141221176
269	0.8137029897	0.4139986689
270	0.8136417883	0.4139288013
271	0.8138559931	0.4138528076
272	0.8139477952	0.4137583459
273	0.8139477952	0.4137078129
274	0.8138559931	0.4136468506
275	0.8138559931	0.4135553772
276	0.8140395973	0.4135110002
277	0.8138865938	0.4134106814
278	0.8140089966	0.4133632563
279	0.8142538021	0.4132809571
280	0.8139783959	0.4131773212
281	0.8142232014	0.4130885971
282	0.8142538021	0.413034777
283	0.8142232014	0.4129471586
284	0.8142232014	0.4129030506
285	0.8142232014	0.4128684455
286	0.8142232014	0.4127977411
287	0.814468007	0.4127334916
288	0.8145904097	0.4126833472
289	0.8145904097	0.4126387012
290	0.8145904097	0.4126020641
291	0.8144374063	0.4125236498
292	0.8143456042	0.4124120648
293	0.814468007	0.4123561528
294	0.8144374063	0.4123042452
295	0.8144986077	0.4122117857
296	0.8146516111	0.4121507935
297	0.8147128125	0.4120536423
298	0.8147434132	0.4120094446
299	0.8148046146	0.4119337497
300	0.8147128125	0.4118557538
301	0.8148964167	0.4117586026
302	0.814957618	0.4117091156
303	0.8149882187	0.4116592699
304	0.8149270174	0.4115854876
305	0.814865816	0.4115440093
306	0.8149882187	0.4114820907
307	0.8149882187	0.4114316773
308	0.8150188194	0.4113809052
309	0.8151412222	0.411330701
310	0.8149882187	0.411242455
311	0.8150188194	0.4111727667
312	0.814957618	0.4110446861
313	0.814957618	0.410977777
314	0.8149882187	0.4109253016
315	0.8150188194	0.4108606935
316	0.8149882187	0.4107870904
317	0.8151106215	0.4107052097
318	0.8148964167	0.4106638808
319	0.8150800208	0.4105666399
320	0.8151106215	0.4104829662
321	0.8154472291	0.4103949294
322	0.815355427	0.4103444263
323	0.8153860277	0.4102962243
324	0.8153860277	0.4102180192
325	0.8153860277	0.4101671874
326	0.8153860277	0.4101039539
327	0.8154778298	0.4100717694
328	0.8156308333	0.409997987
329	0.8156002326	0.4099470656
330	0.8156002326	0.4099052885
331	0.8156308333	0.4098608218
332	0.8155390312	0.4098110957
333	0.8156002326	0.4097214751
334	0.8158144374	0.4096034652
335	0.8158450381	0.4095420846
336	0.8158144374	0.4094738606
337	0.8157838367	0.4094371636
338	0.8156920346	0.4093505912
339	0.8158450381	0.4092961136
340	0.8158450381	0.4092700851
341	0.8158450381	0.4092569961
342	0.8159674409	0.4091805242
343	0.8159980416	0.4091343244
344	0.8159980416	0.4090976872
345	0.8160286422	0.4090687002
346	0.8160286422	0.4090332584
347	0.8160898436	0.4089725949
348	0.8160592429	0.4088986034
349	0.8160286422	0.4088280485
350	0.816151045	0.408781759
351	0.8159980416	0.4087414462
352	0.8160592429	0.4086607308
353	0.8161204443	0.408595555
354	0.8162428471	0.4085457691
355	0.8162428471	0.4085416153
356	0.8162122464	0.4085094905
357	0.8163040485	0.4083881934
358	0.8163040485	0.4083041611
359	0.8163652499	0.4082556303
360	0.8164570519	0.4081868983
361	0.8165182533	0.408103613
362	0.8165182533	0.4080549627
363	0.8165182533	0.4080165923
364	0.8166712568	0.4079642364
365	0.8167018575	0.4079281073
366	0.8166712568	0.4078717171
367	0.8167018575	0.4078136834
368	0.8167324582	0.407753498
369	0.8168854616	0.4076787893
370	0.8170078644	0.4075645447
371	0.8169772637	0.4075189724
